name,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH)
Garowe,8.41,20.48,94,92,3.12
Presidencia Roque Saenz Pena,-26.79,23.13,87,0,4.27
College,64.86,-2.78,49,75,3.27
Klamath Falls,42.22,4.0,86,90,5.7
Katsuura,33.93,13.0,66,90,2.1
Najran,17.54,21.0,49,20,5.1
Canguaretama,-6.38,26.0,83,40,1.0
Porto Novo,-23.68,21.0,100,0,1.27
Ixtapa,20.71,24.0,88,5,2.6
Road Town,18.42,26.0,69,20,5.1
Creel,27.75,11.68,37,68,1.47
Hasaki,35.73,13.89,71,90,2.6
Faanui,-16.48,28.88,100,80,2.87
Zhuhai,40.71,0.0,39,0,4.0
Panorama,-21.35,22.38,96,36,2.82
Laje,-13.18,21.55,94,100,1.42
Concordia,-31.4,23.33,88,0,1.79
Chuy,-33.69,20.18,97,56,3.32
Altamira,-3.2,23.58,94,64,1.12
Herat,34.35,6.0,87,90,3.1
Anadyr,64.73,-6.0,92,40,3.0
Mitu,36.2,-9.0,72,0,0.92
Lufilufi,-13.87,25.0,94,75,6.7
Okha,53.59,-10.88,100,8,4.92
Omboue,-1.57,26.75,100,68,0.92
Antofagasta,-23.65,20.0,77,40,3.6
Lyubashivka,47.84,-0.53,89,0,3.67
San Felipe,-32.75,20.0,29,0,0.87
Ketchikan,55.34,5.0,55,1,7.2
Harper,30.3,4.44,44,1,1.5
Makakilo City,21.35,25.0,50,1,6.7
Seoul,37.57,10.0,57,90,2.1
Ponta do Sol,-20.63,19.73,90,44,1.32
Camacari,-12.7,29.0,79,40,4.1
Iquique,-20.22,21.0,73,0,4.6
Kathmandu,27.71,10.0,81,20,1.0
Lerwick,60.15,4.0,60,68,4.6
Pangnirtung,66.15,-20.98,69,44,2.22
Sukhobuzimskoye,56.5,-3.0,45,0,3.0
De-Kastri,51.48,-5.28,97,32,4.37
Taguatinga,-15.83,19.0,93,75,1.0
Rundu,-17.91,23.08,53,88,2.87
Pevek,69.7,-14.1,94,76,2.32
Kokkola,63.84,-9.44,85,0,4.1
Sao Filipe,14.9,21.13,98,0,8.07
Port Hedland,-20.31,36.0,56,0,5.7
Saurimo,-9.66,18.15,96,12,1.97
Quatre Cocos,-20.21,25.0,83,20,4.37
Camopi,3.17,24.15,82,0,1.42
Saint Anthony,43.97,1.0,55,90,1.5
Gat,14.69,19.0,68,0,9.8
Port Blair,11.67,27.18,100,92,1.97
Soldotna,60.48,0.56,85,1,1.5
Tobe,33.74,13.89,76,75,5.7
Zhigansk,66.77,-12.43,82,92,5.37
Severo-Yeniseyskiy,60.37,-7.83,55,48,3.47
Longyearbyen,78.22,-22.0,63,20,3.6
Kirakira,-10.46,28.9,100,32,4.47
Topolobampo,25.6,21.0,56,90,4.1
Azul,-36.78,22.78,55,0,3.02
Fethiye,36.62,7.78,93,0,2.6
Aswan,24.09,6.88,94,0,1.87
Axim,4.87,25.83,100,36,3.02
Tkibuli,42.35,3.0,71,0,3.1
Catabola,-12.14,17.05,89,32,2.62
Kavieng,-2.57,30.05,98,32,2.12
Shibata,37.91,13.89,43,75,5.1
Luanda,-8.83,24.0,94,20,3.1
Phonhong,18.5,28.0,69,0,0.97
Aitape,-3.15,27.93,92,80,2.87
Jinotepe,11.85,29.0,54,20,3.1
Bertoua,4.58,19.33,93,8,3.67
Mattru,7.62,24.15,82,0,1.72
Gladstone,-23.84,31.67,58,40,5.1
Oldenburg,53.14,5.56,86,75,2.6
Hay River,60.82,-16.0,84,20,1.0
Palmer,-34.85,20.0,45,75,8.2
Emba,34.81,9.0,81,0,4.1
Karata,42.6,-5.45,70,0,1.17
Yar-Sale,66.83,-23.5,70,0,3.37
Pasighat,28.06,13.25,88,76,0.62
Kungurtug,50.6,-4.13,57,20,1.22
Rapid Valley,44.06,-7.0,57,1,1.5
Huilong,28.89,11.53,89,88,1.42
Kyrylivka,47.32,2.93,93,76,2.42
Buta,2.79,22.25,91,8,0.92
Tshikapa,-6.42,22.15,98,20,1.17
Siverskiy,59.35,-12.22,78,0,7.0
Makubetsu,42.84,7.0,45,75,4.1
Comodoro Rivadavia,-45.87,20.0,34,0,8.2
Goure,13.98,21.38,25,8,4.22
Russell,-33.01,20.0,68,75,1.0
Tambacounda,13.77,18.23,34,0,2.37
Bouna,9.27,20.43,38,0,2.57
Turka,49.16,3.33,78,92,1.79
Castro,-42.48,13.0,100,90,9.3
Halifax,44.65,-6.67,73,40,4.82
Tucurui,-3.77,23.9,98,92,0.87
Flin Flon,54.77,-13.98,61,48,4.22
Kloulklubed,7.04,29.0,70,75,5.7
Mana,43.52,4.0,100,90,0.5
Praya,-8.71,31.0,70,75,0.5
Paamiut,61.99,-2.0,99,64,5.07
Xining,36.62,-0.78,47,24,0.62
Cururupu,-1.82,23.8,96,68,1.27
Rio Claro,-22.41,20.0,94,0,1.0
Puerto Narino,-3.77,26.0,100,20,1.0
San Luis,-33.3,20.93,72,44,2.12
Bajah,13.81,8.43,89,0,0.92
Hofn,64.25,-1.68,100,8,3.77
Villarrica,-39.28,10.0,87,0,1.5
Dhidhdhoo,6.88,28.13,100,36,5.52
Kosum Phisai,16.25,30.0,48,12,2.1
Coihaique,-45.58,11.0,87,90,3.6
Balkanabat,39.51,1.78,88,0,1.97
Artyom,43.36,2.0,59,24,6.0
Joshimath,30.57,-19.5,93,0,0.47
Tsiroanomandidy,-18.77,14.65,87,8,1.02
Katobu,-4.94,25.93,100,92,0.87
Katherine,-14.47,34.0,41,0,3.6
Alberton,-26.25,20.0,88,8,1.5
Srednekolymsk,67.46,-19.83,63,68,1.42
Mitchell,43.71,-11.0,66,1,3.6
Kalmunai,7.42,26.8,98,0,1.37
Kerouane,12.23,15.9,47,0,1.47
Meridian,32.36,3.0,37,1,4.1
Bontang,0.12,29.88,81,8,3.97
Grants,35.15,9.0,39,1,3.6
Port Dover,42.79,-11.11,86,64,6.02
Coahuayana,18.62,19.83,61,8,0.92
Bambanglipuro,-7.95,26.9,100,44,1.87
Salalah,17.01,22.0,64,0,1.0
Manakara,-22.14,23.68,100,92,2.32
Gazanjyk,39.24,0.65,83,0,1.22
Jumla,29.28,-6.78,61,0,0.92
San Jose,15.79,28.13,65,0,1.37
Evanston,42.04,-8.89,47,1,5.7
Havelock,34.88,4.0,64,1,2.1
Wamba,2.14,17.68,95,0,0.97
Half Moon Bay,37.46,14.0,87,90,8.2
Ilo,-17.65,16.9,98,12,0.87
Sungaipenuh,-2.08,23.38,83,48,1.02
Lompoc,34.64,14.0,81,90,3.1
Ewa Beach,21.32,25.0,50,1,6.7
Lata,30.78,2.8,74,0,0.97
Tual,-5.67,28.18,100,92,1.97
Beidao,34.57,2.93,84,76,1.97
Springbok,-29.67,12.65,79,0,1.22
Acapulco,16.86,26.0,83,5,3.1
Celestun,20.87,24.53,100,24,12.92
Cam Ranh,11.92,30.0,58,20,3.1
Nichinan,31.65,13.89,93,75,2.1
Kropachevo,55.01,-2.2,89,76,5.57
Whitehorse,60.72,-7.0,37,5,7.2
Mihai Bravu,44.14,8.33,67,0,2.1
Charters Towers,-20.07,29.18,79,8,4.07
Torbay,47.66,-2.22,85,75,8.7
Aksarka,66.56,-22.83,49,12,5.52
Ileza,61.05,-8.63,87,92,7.12
Suntar,62.16,-5.28,61,8,3.42
Berlevag,70.86,-10.5,100,12,3.02
Yerbogachen,61.28,-1.53,80,56,4.77
Ngunguru,-35.62,24.44,61,0,1.79
Vila Velha,-3.71,27.78,88,75,3.1
Garoua,9.31,22.9,41,0,2.47
Kapustin Yar,48.58,2.68,83,24,6.47
Ust-Nera,64.57,-27.1,64,8,0.92
Lethem,3.38,28.23,55,0,6.32
Maniitsoq,65.42,-10.7,76,36,3.42
Nome,30.04,6.67,65,1,2.77
Ranong,9.96,26.0,88,20,1.92
Gasa,27.91,-18.58,67,20,0.72
Podgornoye,57.79,-6.93,75,48,2.57
Tadine,-21.55,27.98,88,12,8.22
Mehamn,71.03,-8.18,89,48,4.92
Mazamari,-11.33,19.88,92,56,1.02
Mercedes,-33.25,22.13,87,12,2.77
Nanakuli,21.39,25.0,68,90,6.2
Port Moresby,-9.47,31.0,66,40,4.6
Susanville,40.42,4.0,93,90,1.5
Padang,-0.92,28.53,100,8,3.02
La Cruz,23.92,17.78,89,8,0.45
Aklavik,68.22,-10.0,61,20,1.5
Bolgatanga,10.79,20.73,30,0,2.77
Brae,60.4,4.0,60,12,6.2
Assiniboia,49.63,-17.18,75,0,4.07
Lasa,34.92,9.0,81,0,4.1
Santa Cruz,36.97,15.0,87,92,2.1
Olga,34.11,16.11,77,90,3.6
Eenhana,-17.48,21.9,64,92,4.77
Banyo,6.75,19.4,54,44,1.17
Jackville,5.21,28.0,88,20,2.6
Kapuskasing,49.42,-18.0,84,90,2.1
Lensk,60.71,-4.1,62,8,4.82
Airai,-8.93,27.13,71,36,0.87
Paragominas,-3.0,22.33,98,92,1.37
Imeni Poliny Osipenko,52.42,-2.73,61,0,2.27
Takoradi,4.89,26.83,100,12,3.02
Portage,41.58,-7.78,61,90,7.2
Vao,59.1,-11.5,76,0,3.12
Ayan,40.67,-2.2,96,32,1.77
Plettenberg Bay,-34.05,19.55,96,0,0.57
Bedele,8.46,12.9,94,44,0.97
Babu,23.23,14.33,95,100,1.17
Bata,1.87,26.48,100,92,3.22
Rio Gallegos,-51.62,10.0,66,90,3.1
Garden City,40.73,-1.67,45,1,3.1
Bara,10.41,20.75,36,0,2.32
Strathmore,51.04,-10.0,47,20,1.0
Grand Falls,47.05,-12.0,65,1,2.47
Kautokeino,69.01,-10.28,80,8,3.92
Krasnorechenskiy,44.63,4.73,36,0,3.77
Itoman,26.12,23.0,73,75,7.2
Rio Cuarto,-33.13,18.0,100,0,1.5
Pierre,44.37,-8.89,66,1,3.1
Benguela,-12.58,25.4,100,48,1.82
Cholet,47.06,12.0,66,0,5.7
Fontem,5.49,15.13,90,56,0.27
Mount Pleasant,33.16,2.0,43,1,1.62
Mitsamiouli,-11.38,28.38,97,92,4.32
Covington,35.56,0.56,54,1,2.6
Talnakh,69.49,-12.95,83,76,6.92
Komsomolskiy,67.55,-17.75,62,32,7.97
Sibolga,1.74,25.4,88,0,1.17
Lagoa,37.14,16.0,87,40,7.7
Oranjemund,-28.55,17.18,93,0,4.37
Nantucket,41.28,-2.0,67,1,3.1
Vyartsilya,62.18,-17.03,78,0,4.87
Saint-Augustin,44.83,14.0,62,0,6.2
Tiruchchendur,8.48,27.0,61,20,2.07
Udupi,13.34,24.0,78,20,1.5
Maceio,-9.67,25.0,83,0,0.5
Erie,42.13,-9.44,72,90,4.1
Fiche,9.77,9.18,94,68,1.32
Boende,-0.28,21.08,99,36,1.77
Birjand,32.86,0.0,90,0,2.1
Dali,25.6,6.78,100,92,0.97
Necochea,-38.55,20.56,50,76,4.32
Souillac,45.6,13.0,54,0,8.7
Copiapo,-27.37,18.0,77,0,3.1
Ambulu,-8.35,28.9,100,20,2.47
Waiouru,-39.48,23.55,38,0,2.27
Eureka,40.8,10.0,100,90,3.1
Ballina,54.11,5.0,92,92,4.47
Sorland,67.67,2.3,100,88,12.02
Marovoay,-16.11,22.03,100,76,1.97
Olinda,-2.03,27.0,83,40,1.0
La Rioja,-29.41,22.03,84,32,0.22
Andros,37.83,14.0,87,12,4.6
Sabha,27.03,6.5,56,0,1.57
Aracati,-4.56,22.48,96,76,0.87
Sampit,-2.54,27.5,92,88,2.32
Altay,47.83,-7.98,66,32,1.02
Novopavlovka,51.21,-1.68,51,12,1.52
Lexington Park,38.26,2.22,100,75,2.1
Kiunga,-6.12,29.8,74,68,1.32
Kodinsk,58.6,-4.58,65,56,3.32
Carauari,-4.88,25.83,87,36,1.67
Beringovskiy,63.05,-3.98,95,32,1.67
Aasiaat,68.71,-11.25,99,8,4.47
Lebedinyy,58.52,-6.35,64,24,1.77
Broken Hill,-31.97,21.0,35,0,9.8
Nagapattinam,10.76,27.93,78,0,2.77
Alihe,50.57,-1.7,48,0,3.07
Masterton,-40.95,21.11,77,0,0.45
Moose Factory,51.26,-23.0,83,90,1.0
Messina,38.19,14.0,87,40,1.5
Nerchinsk,51.98,-1.6,42,24,2.67
Port Washington,43.39,-10.0,60,90,3.6
Mosquera,4.71,14.0,87,75,1.5
Ust-Uda,54.17,-0.1,84,80,1.57
Marsabit,2.34,19.9,81,0,1.17
Okhotsk,59.36,-6.83,83,24,2.22
Thaba-Tseka,-29.52,8.28,98,32,0.97
Wolfsburg,52.42,2.78,93,40,2.1
Chichi,7.27,23.48,92,0,3.27
Chernyshevskiy,63.01,-5.03,81,80,4.67
Batken,40.06,1.9,79,20,1.42
Dukat,42.44,3.89,90,68,0.45
Key Biscayne,25.69,22.22,64,75,4.1
Denpasar,-8.65,29.0,83,75,4.1
Isangel,-19.55,30.0,84,75,3.6
Khonsa,26.99,14.18,99,88,0.17
Jutai,-1.71,23.53,98,92,1.02
Kanniyakumari,8.08,28.0,99,0,8.07
Ambon,47.55,13.33,71,0,10.3
Gao,16.28,13.48,42,0,1.52
Maningrida,-12.05,29.33,88,44,3.87
Salinopolis,-0.61,26.03,100,36,2.77
Adamas,36.73,14.0,87,0,5.7
Cockburn Town,21.46,25.53,97,100,5.82
Mapimi,25.82,19.0,32,75,6.7
Hwange,-18.35,24.25,51,0,5.87
Inverness,57.48,0.0,92,76,4.02
Kuopio,62.89,-16.0,77,0,4.6
Mamlyutka,54.94,-8.0,100,90,2.0
Motygino,58.18,-5.63,71,76,3.12
Dicabisagan,17.08,26.68,87,0,2.37
Rogatica,43.8,4.0,100,0,0.5
Turukhansk,65.8,-11.85,84,68,6.47
San Juan,-31.54,20.68,65,0,2.57
Tampere,61.5,-16.67,84,0,1.92
Allada,6.67,29.0,89,40,6.2
Acari,-6.44,21.63,94,32,2.72
Lavagna,44.31,13.0,66,75,4.1
Rock Springs,41.59,-6.0,79,90,2.1
Nalut,31.86,5.9,80,0,1.22
El Jicaro,14.91,17.73,73,0,0.72
Bemidji,47.48,-13.89,71,90,2.6
Kamaishi,39.28,7.0,70,75,1.5
Trincomalee,8.58,26.48,94,0,1.92
Ryotsu,38.08,13.0,43,75,5.1
Camacha,33.08,16.0,77,40,8.2
